year,city_name,temperature
1938,MELBOURNE,15.154520547945205
1938,PERTH,17.57
1938,PORT,15.550692520775623
1938,SYDNEY,18.661506849315067
1939,CANBERRA,12.612222222222222
1939,KENT,17.1559670781893
1939,MELBOURNE,14.863835616438356
1939,PERTH,17.68082191780822
1939,PORT,15.686126373626374
1939,SYDNEY,18.46917808219178
1940,CANBERRA,12.710068965517241
1940,KENT,16.856967213114753
1940,MELBOURNE,14.912704918032787
1940,PERTH,17.938524590163933
1940,PORT,15.364890710382513
1940,SYDNEY,18.746857923497267
1941,CANBERRA,11.90222531293463
1941,KENT,16.854794520547944
1941,MELBOURNE,14.62986301369863
1941,PERTH,17.893835616438356
1941,PORT,15.485714285714286
1941,SYDNEY,18.04931506849315
1942,CANBERRA,12.330440771349862
1942,KENT,17.276616231086656
